Date,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,NVDA,KO,DIS,WMT,TLT,GLD,SPY
2025-04-30,211.3831024169922,391.4093017578125,158.1568145751953,184.4199981689453,238.87725830078125,151.203369140625,156.853271484375,101.43270874023438,108.76756286621094,70.05384063720703,89.27113342285156,96.21102905273438,84.62489318847656,303.7699890136719,546.8462524414062
2025-05-01,212.1988067626953,421.2556457519531,160.6466827392578,190.1999969482422,241.09397888183594,149.41383361816406,154.35430908203125,101.5767593383789,111.45380401611328,68.8371810913086,89.13372039794922,96.36933135986328,84.19580078125,297.4599914550781,550.7216796875
2025-05-02,204.27069091796875,431.0393981933594,163.36561584472656,189.97999572753906,246.58204650878906,151.01956176757812,154.87533569335938,101.98966979980469,114.33976745605469,69.18480682373047,90.78270721435547,97.69499969482422,83.28445434570312,297.9800109863281,558.8966674804688
2025-05-05,197.84463500976562,431.9207458496094,163.54490661621094,186.35000610351562,246.630859375,149.9361572265625,153.24476623535156,99.16648864746094,113.66072082519531,69.23307037353516,90.40972900390625,98.26881408691406,82.81927490234375,306.8800048828125,555.6917724609375
2025-05-06,197.46661376953125,429.0885925292969,162.56884765625,185.00999450683594,243.3985595703125,149.4235076904297,153.65000915527344,100.54927825927734,113.38111114501953,69.25239562988281,90.46861267089844,97.49714660644531,83.09456634521484,315.4800109863281,551.047119140625
2025-05-07,195.218505859375,429.12823486328125,150.76687622070312,188.7100067138672,243.5352783203125,152.16104125976562,153.68858337402344,100.45325469970703,116.89617919921875,69.90899658203125,100.20549774169922,97.77415466308594,83.44580841064453,310.75,553.3645629882812
2025-05-08,196.45201110839844,433.9012451171875,153.6551055908203,192.0800018310547,247.51950073242188,150.5746307373047,153.0710906982422,101.85523223876953,117.20574951171875,68.72130584716797,103.17957305908203,96.38910675048828,82.51548767089844,304.6300048828125,557.2202758789062
2025-05-09,197.4865264892578,434.45574951171875,152.1313018798828,193.05999755859375,247.13865661621094,149.18165588378906,152.11590576171875,103.04596710205078,116.48676300048828,68.09366607666016,103.98443603515625,95.91803741455078,82.63890838623047,306.8399963378906,556.5103759765625
2025-05-12,209.95704650878906,444.88323974609375,157.8181915283203,208.63999938964844,253.9449920654297,149.10427856445312,155.24197387695312,104.82245635986328,122.82786560058594,67.13773345947266,108.45044708251953,95.94779205322266,81.86994934082031,298.19000244140625,574.9015502929688
2025-05-13,212.08859252929688,444.764404296875,158.88385009765625,211.3699951171875,256.8355407714844,143.59051513671875,153.14828491210938,105.11053466796875,129.74815368652344,66.58735656738281,109.32401275634766,95.08500671386719,81.53768920898438,299.4599914550781,578.6981811523438
2025-05-14,211.490966796875,448.52734375,164.7001953125,210.25,259.40380859375,141.57843017578125,152.4632568359375,104.16947174072266,135.15060424804688,66.78045654296875,110.855224609375,96.02713775634766,80.99657440185547,293.1600036621094,579.437744140625
2025-05-15,210.6144256591797,449.5392761230469,163.29591369628906,205.1699981689453,261.2103271484375,144.72225952148438,156.69888305664062,105.22579956054688,134.6413116455078,69.14617156982422,110.14850616455078,95.55111694335938,81.70857238769531,297.8399963378906,582.2679443359375
2025-05-16,210.42518615722656,450.67022705078125,165.51686096191406,205.58999633789062,261.2786865234375,146.38607788085938,157.5382843017578,104.84784698486328,135.21051025390625,69.52275848388672,111.32635498046875,97.4254379272461,81.92689514160156,294.239990234375,585.9559936523438
2025-05-19,207.95501708984375,455.2337951660156,165.8654327392578,206.16000366210938,258.66162109375,147.50819396972656,158.97589111328125,103.18099212646484,135.3802947998047,69.45516204833984,110.58039093017578,97.30643463134766,81.68958282470703,298.0299987792969,586.596923828125
2025-05-20,206.04257202148438,454.5393371582031,163.31582641601562,204.07000732421875,259.4428405761719,148.6399688720703,159.81532287597656,101.70793151855469,134.19192504882812,69.22341918945312,110.28592681884766,96.98909759521484,81.10100555419922,303.5799865722656,584.6246948242188
2025-05-21,201.29141235351562,448.9837341308594,167.8772735595703,201.1199951171875,254.9117889404297,148.1756134033203,159.6126708984375,100.45779418945312,131.61557006835938,69.37791442871094,108.42098999023438,95.63044738769531,79.7149658203125,305.82000732421875,574.7733154296875
2025-05-22,200.5643310546875,451.2555847167969,170.17791748046875,203.10000610351562,254.55047607421875,147.62425231933594,159.2267303466797,99.78910827636719,132.6441192626953,68.69235229492188,109.07862854003906,95.13460540771484,80.13268280029297,303.1099853515625,575.0001220703125
2025-05-23,194.49838256835938,446.6126708984375,167.78762817382812,200.99000549316406,254.5895233154297,147.94346618652344,160.0275421142578,99.84724426269531,131.1062469482422,69.30066680908203,107.69466400146484,95.54119110107422,80.26558685302734,309.75,571.0753173828125
2025-05-27,199.41885375976562,457.03936767578125,172.19969177246094,206.02000427246094,259.06201171875,149.51422119140625,161.86073303222656,100.32210540771484,135.31036376953125,69.31031799316406,110.28592681884766,96.77091979980469,81.38578033447266,304.5,582.9483642578125
2025-05-28,199.62802124023438,453.7357482910156,171.66189575195312,204.72000122070312,257.3042297363281,148.71420288085938,161.47482299804688,98.95567321777344,134.621337890625,68.7020034790039,109.46142578125,96.43373107910156,81.03453826904297,303.80999755859375,579.5757446289062
2025-05-29,199.15988159179688,455.0452880859375,171.16392517089844,205.6999969482422,258.16363525390625,149.83616638183594,162.6326141357422,99.51776123046875,138.9951934814453,69.03030395507812,109.95219421386719,96.29490661621094,81.78450775146484,305.6099853515625,581.8635864257812
2025-05-30,200.05633544921875,456.71197509765625,171.04440307617188,205.00999450683594,257.80230712890625,151.42645263671875,163.91583251953125,99.13980865478516,134.94090270996094,69.61931610107422,110.95337677001953,97.9014663696289,81.90792083740234,303.6000061035156,581.2127685546875
